model,backbone,train_fraction,seed,best_val_acc,test_acc,macro_f1,attention_params,trainable_params,total_params,best_epoch
none,densenet,0.01,42,0.6477011494252873,0.6522,0.6448,0,29725,6983581,14
none,densenet,0.01,43,0.6487356321839081,0.6485,0.6293,0,29725,6983581,15
none,densenet,0.01,44,0.6425287356321839,0.64,0.6284,0,29725,6983581,12
se,densenet,0.01,42,0.6566666666666666,0.6577,0.6515,131072,160797,7114653,14
se,densenet,0.01,43,0.6617241379310345,0.6613,0.6523,131072,160797,7114653,12
se,densenet,0.01,44,0.6698850574712644,0.666,0.6536,131072,160797,7114653,12
qca,densenet,0.01,42,0.6202298850574712,0.6183,0.603,17464,47189,7001045,10
qca,densenet,0.01,43,0.6149425287356322,0.612,0.5914,17464,47189,7001045,15
qca,densenet,0.01,44,0.6367816091954023,0.6345,0.6204,17464,47189,7001045,15
mlp,densenet,0.01,42,0.6050574712643678,0.6044,0.5833,17480,47205,7001061,11
mlp,densenet,0.01,43,0.5986206896551725,0.5971,0.5775,17480,47205,7001061,13
mlp,densenet,0.01,44,0.6264367816091954,0.6226,0.611,17480,47205,7001061,12
none,densenet,0.05,42,0.8655172413793103,0.8595,0.8592,0,29725,6983581,13
none,densenet,0.05,43,0.8744827586206897,0.8703,0.8701,0,29725,6983581,14
none,densenet,0.05,44,0.8637931034482759,0.8631,0.8622,0,29725,6983581,14
se,densenet,0.05,42,0.8683908045977011,0.8623,0.8617,131072,160797,7114653,12
se,densenet,0.05,43,0.8805747126436781,0.8752,0.8746,131072,160797,7114653,15
se,densenet,0.05,44,0.878735632183908,0.8791,0.879,131072,160797,7114653,14
qca,densenet,0.05,42,0.8586206896551725,0.8506,0.8498,17464,47189,7001045,15
qca,densenet,0.05,43,0.8637931034482759,0.8662,0.8658,17464,47189,7001045,15
qca,densenet,0.05,44,0.8702298850574712,0.8672,0.8662,17464,47189,7001045,14
mlp,densenet,0.05,42,0.8617241379310345,0.86,0.8593,17480,47205,7001061,15
mlp,densenet,0.05,43,0.8691954022988506,0.8691,0.869,17480,47205,7001061,13
mlp,densenet,0.05,44,0.8657471264367816,0.8626,0.8618,17480,47205,7001061,12
none,densenet,0.1,42,0.9014942528735632,0.8962,0.8961,0,29725,6983581,15
none,densenet,0.1,43,0.9127586206896552,0.9082,0.9083,0,29725,6983581,15
none,densenet,0.1,44,0.9032183908045976,0.9013,0.9008,0,29725,6983581,15
se,densenet,0.1,42,0.9077011494252873,0.9063,0.9063,131072,160797,7114653,13
se,densenet,0.1,43,0.9186206896551724,0.9151,0.9154,131072,160797,7114653,14
se,densenet,0.1,44,0.9141379310344827,0.9121,0.9122,131072,160797,7114653,14
qca,densenet,0.1,42,0.903448275862069,0.8998,0.8995,17464,47189,7001045,15
qca,densenet,0.1,43,0.9074712643678161,0.9068,0.9071,17464,47189,7001045,13
qca,densenet,0.1,44,0.9066666666666666,0.9041,0.9039,17464,47189,7001045,15
mlp,densenet,0.1,42,0.9080459770114943,0.9067,0.9069,17480,47205,7001061,15
mlp,densenet,0.1,43,0.9157471264367816,0.9099,0.9098,17480,47205,7001061,15
mlp,densenet,0.1,44,0.9087356321839081,0.9114,0.9114,17480,47205,7001061,13
