model,backbone,train_fraction,n_seeds,best_val_acc_mean,best_val_acc_sample_std,test_acc_mean,test_acc_sample_std,macro_f1_mean,macro_f1_sample_std,attention_params,trainable_params,total_params
mlp,densenet,0.01,3,0.6100383141762452,0.014561604993381185,0.6080333333333333,0.013132529586234868,0.5906,0.017903351641522302,17480,47205,7001061
none,densenet,0.01,3,0.6463218390804598,0.0033253968141354886,0.6469,0.006255397669213354,0.6341666666666667,0.009219725230902174,0,29725,6983581
qca,densenet,0.01,3,0.6239846743295019,0.01139342752160629,0.6215999999999999,0.011607325273291846,0.6049333333333333,0.014596346574856742,17464,47189,7001045
se,densenet,0.01,3,0.6627586206896552,0.006669638655817957,0.6616666666666666,0.004162130864513234,0.6524666666666666,0.0010598742063723029,131072,160797,7114653
mlp,densenet,0.05,3,0.8655555555555556,0.003739314424510177,0.8639,0.004687216658103178,0.8633666666666666,0.0050362022728772,17480,47205,7001061
none,densenet,0.05,3,0.8679310344827587,0.005739074819687353,0.8643,0.005499090833946972,0.8638333333333333,0.005630571315002898,0,29725,6983581
qca,densenet,0.05,3,0.8642145593869732,0.005816061666057723,0.8613333333333333,0.009308777220093559,0.8606,0.009355212450821195,17464,47189,7001045
se,densenet,0.05,3,0.8759003831417624,0.006568171866390722,0.8722,0.008792610533851726,0.8717666666666667,0.00899129208364033,131072,160797,7114653
mlp,densenet,0.1,3,0.9108429118773946,0.004261149656792922,0.9093333333333333,0.002400694344004139,0.9093666666666667,0.0022810816147900616,17480,47205,7001061
none,densenet,0.1,3,0.905823754789272,0.006067325332758321,0.9019,0.006022457969965425,0.9017333333333334,0.006153318887668119,0,29725,6983581
qca,densenet,0.1,3,0.9058620689655172,0.0021287654226956293,0.9035666666666667,0.0035303446479534174,0.9035,0.0038157568056678103,17464,47189,7001045
se,densenet,0.1,3,0.9134865900383141,0.005488831708841778,0.9111666666666667,0.004473626418615381,0.9113,0.004616275555033517,131072,160797,7114653
