method,held_out_signer,seed,n_test,best_epoch,best_val_accuracy,test_accuracy,macro_f1,attention_params,trainable_params
none,1,42,650,11,0.9942857142857143,0.9538461538461539,0.9520573753986883,0,6980506
none,2,42,645,11,0.9886363636363636,0.9658914728682171,0.9633705400958659,0,6980506
none,3,42,130,7,0.9960474308300395,0.9846153846153847,0.9844599844599846,0,6980506
none,4,42,130,15,0.9960474308300395,0.9769230769230769,0.9762043512043512,0,6980506
none,5,42,260,5,0.9957264957264957,0.8576923076923076,0.8542264598371259,0,6980506
se,1,42,650,6,0.9828571428571429,0.9569230769230769,0.9553771362122085,131072,7111578
se,2,42,645,8,0.9886363636363636,0.9751937984496124,0.9750202231336009,131072,7111578
se,3,42,130,7,0.9920948616600791,0.9538461538461539,0.9378997071304764,131072,7111578
se,4,42,130,7,0.9920948616600791,0.9538461538461539,0.9473443223443223,131072,7111578
se,5,42,260,5,0.9957264957264957,0.8461538461538461,0.8363374854457098,131072,7111578
mlp,1,42,650,13,0.9942857142857143,0.9476923076923077,0.9447650940863611,17480,6997986
mlp,2,42,645,13,0.9886363636363636,0.9720930232558139,0.9707254472088456,17480,6997986
mlp,3,42,130,10,1.0,0.9769230769230769,0.9762043512043512,17480,6997986
mlp,4,42,130,9,1.0,0.9538461538461539,0.9409479409479411,17480,6997986
mlp,5,42,260,7,1.0,0.8769230769230769,0.8648425097770568,17480,6997986
qca,1,42,650,7,0.9942857142857143,0.9538461538461539,0.9532371223547694,17464,6997970
qca,2,42,645,11,0.9772727272727273,0.9751937984496124,0.9752695626074004,17464,6997970
qca,3,42,130,12,0.9960474308300395,0.9692307692307692,0.965917415917416,17464,6997970
qca,4,42,130,12,0.9960474308300395,0.9692307692307692,0.9633699633699634,17464,6997970
qca,5,42,260,8,1.0,0.8576923076923076,0.8554357243804525,17464,6997970
